PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUUID,yt_RelSpeed,yt_RelHeight,yt_RelSide,yt_VertRelAngle,yt_HorzRelAngle,yt_ZoneSpeed,yt_PlateLocHeight,yt_PlateLocSide,yt_VertApprAngle,yt_HorzApprAngle,yt_ZoneTime,yt_HorzBreak,yt_InducedVertBreak,yt_OutOfPlane,yt_FSRI,yt_EffectiveSpin,yt_GyroSpin,yt_Efficiency,yt_SpinComponentX,yt_SpinComponentY,yt_SpinComponentZ,yt_HitVelocityX,yt_HitVelocityY,yt_HitVelocityZ,yt_HitLocationX,yt_HitLocationY,yt_HitLocationZ,yt_GroundLocationX,yt_GroundLocationY,yt_HitBreakX,yt_HitBreakY,yt_HitBreakT,yt_HitSpinComponentX,yt_HitSpinComponentY,yt_HitSpinComponentZ,yt_SessionName,Note,yt_PitchSpinConfidence,yt_PitchReleaseConfidence,yt_HitSpinConfidence,yt_EffectiveBattingSpeed,yt_ReleaseAccuracy,yt_ZoneAccuracy,yt_SeamLat,yt_SeamLong,yt_ReleaseDistance,Catcher,CatcherId,CatcherTeam,yt_AeroModel
1,09/18/2024,10:41:02 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,44.47797684231176,11.383129392689632,-4.357053130980619,908.7746921886098,3.8286574620683673,6:15,0.8328868308190188,0.27625674931645694,6.000000191999998,-68.72420200247647,-3.4761613856729525,-0.05742030245131826,2.3073484669357462,-2.4460121965137485,40.64682472741985,-7.520862012094651,-4.372964914160964,0.5813735370266297,,,,,,,,,,,,-1.4280555284480743,-8.004376370578731,-1.2598606995803738,49.99999999999997,-2.452707100140668,4.979542994443628,-65.42963376635075,19.987328590266156,-0.6054557094479412,8.318079847586825,-35.567681890623156,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,775b607c-48b9-467b-bb46-82bc9cf2c5eb,44.52802522467034,0.82235896855302,0.28245641959620005,11.561718520576727,-4.467847299532111,40.642236812147495,2.315133813002216,-2.4504932291420505,-7.356556575987517,-4.468253851160527,0.5813507055421339,0.6469652082892141,-6.177802635149914,-57.17920672594885,,492.567895385742,-763.7069526970166,54.20132180392112,0.5408035504797603,-0.8403699610711811,0.036191826669939475,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
2,09/18/2024,10:41:08 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,46.02145025478111,11.776677201714579,0.24517218399022422,954.7127061810409,10.15249502197633,6:15,0.577159894589303,-0.2961617778681948,6.000000191999998,-61.448011887945015,-0.6846137262918717,0.20847528884827912,2.8924948546056326,-0.1261694538561395,41.80726318495974,-5.167263795044991,0.30327736617232853,0.5610383507424463,,,,,,,,,,,,-0.1585449345433636,-4.885245458668778,0.34937950984102206,49.999999999999986,-2.721661247139687,-0.2688197482461163,-67.79973376181661,20.41397423714481,-0.07217955239403723,8.9288958347385,-34.39811831173574,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,58cdecad-b871-4ea6-b265-3f41e156f3af,46.095902240407696,0.5687396594653166,-0.28997255976781267,11.920003034455783,0.13371340475414467,41.831799821343054,2.899294899037215,-0.1306452313219901,-5.021203134938048,0.20719716912462238,0.5609498260573637,0.9130950218956183,-3.1239237596344216,-76.18067437733181,,228.04362398046086,-927.0773737425504,23.886099190264392,0.23512092891117012,-0.9710537711925561,0.04210370815811136,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
3,09/18/2024,10:41:16 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.40017858979692,5.747952323912781,3.401909142345813,670.0785426548549,237.95998655977124,2:00,1.5478067884069902,-0.6898279169543416,6.000000191999998,-58.21030106205544,2.511969873830388,0.8024414296726119,0.29340906375437475,1.4972055421373252,42.395763551702885,-10.322532536917622,3.624858956491671,0.5608484514174373,,,,,,,,,,,,0.24944018738623436,0.9151797526526565,1.4497715143358727,49.99999999999999,-0.32773415410218365,-3.953285496580883,-67.88269316908033,12.790503013578508,0.1136473876894498,9.064365903619242,-31.757084744668298,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,89a16921-20cd-4326-88eb-1eafd8cff438,45.471776128118506,1.5406999390109188,-0.6844283259280028,5.870482165431023,3.306619092660527,42.42351260635453,0.29942288990614896,1.4933432759236465,-10.196774829894892,3.542158752550347,0.5607277593533972,1.4055553542359074,0.11120323286212466,-82.29060215679168,,89.89017558768798,-664.0218442636273,13.414871521111928,-0.07116742045469128,-0.990961211252593,-0.11371488934444415,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
4,09/18/2024,10:41:24 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.798164704604986,9.474666190546108,1.42769616763678,953.9214921431109,18.09981714185538,6:30,0.6672919428456527,-0.41385807105233474,6.000000191999998,-59.89249264989069,0.615982129330888,-0.1899835523025618,1.6303858923305306,0.45922763189213384,42.04606696321422,-7.094736528435864,1.3747597929669526,0.5598602392453176,,,,,,,,,,,,0.7132452595411783,-2.5810729063719937,0.7376620750959407,50.0,-2.079097634210098,-1.7135266372622873,-67.97216057415302,17.47756852102986,0.3260956153611875,9.030799743626469,-33.3541156943074,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,a9a96fb7-6a4d-4dd3-9595-a33a6df78b60,45.87175408841956,0.6595412310240099,-0.4078795301543972,9.608615306668339,1.320044559104597,42.07273890634896,1.636835261824157,0.45488652355166564,-6.956709712345386,1.2813162747008686,0.5597580063349922,0.490794416095118,-1.804095443088437,-83.08705622677834,,114.81503833024783,-946.9866525700154,12.036109813638925,0.11440523659407557,-0.9927301778708063,0.037392991113992434,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
5,09/18/2024,10:41:32 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.72744752402654,6.682778166851765,1.4502083023998507,728.4163967556423,340.0052838810342,5:15,1.3071335534111068,-0.44861242612184044,6.000000191999998,-59.30830625186107,0.5819701187103661,0.2571970588408489,0.5450767088251639,0.47576086309387233,42.54276485789419,-9.726064526957355,1.5218851726647802,0.5569929279368996,,,,,,,,,,,,0.20391712757731748,-1.6520392184228867,0.7730910061660539,50.00000000000003,-0.7907367709519538,-1.7038456921296254,-68.34717671919304,14.110621967428544,0.09419657311657556,9.178550954724512,-32.937185252329044,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,254aca36-b680-4d48-8e52-37e60a151d13,45.790684491314245,1.2994548647019297,-0.44321607009298025,6.816291090805406,1.3537548002664934,42.56167534150511,0.5514000771187466,0.47183329806444085,-9.59339103109205,1.437729062444739,0.5568999164357226,0.8662435493018508,-1.8337236959150154,-81.84126750640733,,103.37393696095664,-721.0438795383159,14.191599395810266,0.13336188796748172,-0.9898787050234407,-0.04852583001727107,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
6,09/18/2024,10:41:41 AM,,,,,,,Danielle Blackstun,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.40929143770818,11.684614076084685,1.1038527860656837,1069.733459472656,29.446175350255285,7:00,0.5004081289907504,-0.5762110931188125,6.000000191999998,-64.29754661399186,-1.9245030608287337,-1.685088855091785,2.5198030310611323,-0.029407337469717618,41.335417488180525,-6.043556194722972,0.6343749084669709,0.5684208381077631,,,,,,,,,,,,2.336214518120707,-6.278096712787916,0.8417184080355185,50.0,-2.805593354614608,-1.4590571042392204,-66.9018208768854,20.324273966834532,1.0361168859913577,8.661560571293418,-34.95840092255406,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,de5c1ca6-07aa-4531-aeac-5547be9c9570,45.47312154994184,0.49108615049825854,-0.5704298664954486,11.84476460457332,0.9994040962682926,41.34787456414006,2.5271834419910566,-0.033632516152204056,-5.885298694299812,0.5432021586556876,0.5683527964601282,-1.0246772260035724,-4.465864798530418,-69.12652720516517,,381.15183642429145,-999.5263637872324,35.63054264117222,0.3102771442783663,-0.9343695431196165,0.1751617841565365,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
7,09/18/2024,10:41:48 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,43.83003750736044,10.655458902839895,-0.033681671563457555,988.8683100161346,15.659057938715048,6:30,0.4385606081197591,-0.1849392096754442,6.000000191999998,-67.11282109125037,-0.6164201347134934,-0.5811798071972414,1.5563379331653273,-0.2543375362207386,40.173156442101565,-7.879328294951057,-0.19569996030990924,0.5869087611622413,49.04226411817525,2.385058346476048,16.43203629750264,197.64484128085053,,,,39.48261954527469,,14.490365207203604,0.48854434236581357,0.6643431779964033,-4.4245313468269645,0.18307267924773638,49.99999999999997,-2.653047216892276,-0.018641093457252515,-64.83013667901021,18.751123565532183,0.2763824719889066,8.198149398607475,-34.014759254633134,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,c1bd8eeb-b5a5-4f76-b838-4db75219cc6c,43.895587682724944,0.4291535781143053,-0.17815813544802298,10.815058398014743,-0.15436895034145998,40.18526935448978,1.563625852626286,-0.2591135140844138,-7.723725134982612,-0.29885538613257057,0.5868298280291637,0.18166497538349022,-3.315117800863149,-75.05013107425732,,255.10211146396546,-955.3970102950882,25.79737957825781,0.248399063424691,-0.9661519138776928,0.0696303425254225,13.8609499759518,46.99843048434369,2.040898725888843,0.1830205019458204,5.857283719954377,2.058295116823517,9.879230428943076,38.22666676926922,0.6485675015371339,1.4896905481461473,0.006954448558697424,0.7215790246702624,-0.4106850392703725,-0.5573701729330388,,,1.0,0,1.0,28.191080784464503,high,high,,,37.083001186656,,,,2022-11
8,09/18/2024,10:41:55 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.966521848601516,8.778576229484937,1.2855885316157576,1026.4729505266464,17.141503292730594,6:30,0.8984324587877711,-0.37010134275646556,6.000000191999998,-59.7925448398171,0.03315050687203325,-0.5031175260990188,1.4248921641193701,0.38837891358628673,42.34646385736397,-7.770757609161512,1.1453799909767897,0.556692537972753,,,,,,,,,,,,1.028470782540552,-3.012943722731041,0.6649347686389144,50.00000000000001,-1.6858147404797672,-1.5858818722016232,-68.3595707484899,16.713955808875735,0.4755835940705602,9.13524392482906,-33.567289558115846,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,c29a986d-2160-4d62-8a6c-fb6faa5358c2,46.03468348969672,0.8903213817296862,-0.36398063126252594,8.917439828811233,1.1769847631894497,42.367777760922905,1.4314004644297291,0.38403221368644797,-7.632703052271615,1.0522526732960198,0.5565999718442289,0.18291211161838705,-2.3896006234737683,-80.5112946005274,,169.21731546999055,-1012.4288707400677,16.485316576844156,0.15753035028340012,-0.9863181199471713,0.04858760133476981,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
9,09/18/2024,10:42:07 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,47.30802348032161,9.610471073035466,2.468171362130365,947.6319966634114,334.70167925456155,5:15,0.624908767660792,-0.44309136704898633,6.000000191999998,-58.01379823204733,-1.180803990193347,1.698484035107316,1.8352469188943104,1.235824311585423,43.365264085122185,-6.429682706783766,2.9407017664816326,0.5425900071786545,33.94358980189002,35.23436567414544,-2.5594472456590585,1004.841870625814,,,,75.96402494886668,,-4.623720742583898,1.9711778121234667,-1.1219914418833354,-4.728508098298983,0.983141925615128,50.0,-2.135686548411501,-2.8442146350036603,-70.14544775273166,18.014744589699497,-0.5461565444905196,9.636651415858674,-34.47576557701282,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,013e9f9c-2292-4846-a9c0-a3d84773c003,47.373888594127436,0.6169600629243912,-0.4368321909725782,9.746884855250327,2.3568036901846274,43.38538036413407,1.8416242702859296,1.231320280934118,-6.29454532344009,2.8446775595166813,0.5425055636384324,2.4027122073476286,-3.5071439477313127,-75.34819739794858,,239.6979933092729,-916.8158337985832,25.294417469359786,0.22868558246380385,-0.9674808755156736,-0.10809097966350426,-1.2380896024596726,27.69743275307252,19.58281495761728,-1.126744856443478,3.769467997634343,2.1295118865426304,-6.1235807535963795,75.7168068871517,-1.9560065405771192,4.231450758719502,0.12895367081317577,0.9082214890604848,-0.3627552136281508,0.20866811398570306,,,1.0,0,1.0,15.169175717671514,high,high,,,37.083001186656,,,,2022-11
10,09/18/2024,10:42:14 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,46.33548682465684,9.257800355359622,1.596764426739899,994.1176588270399,10.228253747569825,6:15,0.781141011205364,-0.43705237979053796,6.000000191999998,-57.951896169897054,1.102143435285086,0.14284245312712862,1.7676904467023018,0.5690863905075604,42.5353230543126,-6.780517919092616,1.6365596332982475,0.5530906641930405,43.361247609537635,-8.879339941290059,29.224786953982964,1811.2424355364856,,,,12.37261189851133,,19.9960599260735,0.1558817785513657,0.38514179696727974,-1.9428992341755376,0.7957197815232824,49.99999999999999,-1.89599035004632,-1.9033254571487643,-68.80912720595063,17.22416745596556,0.18042486075361766,9.264195325259207,-33.08422689353905,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,154d94b8-e3ac-4593-a9e2-27a19087dca3,46.41260912338219,0.773801363755952,-0.4310288489742955,9.384355574526614,1.488533869953182,42.566787184263106,1.7738722183278421,0.5647194093686194,-6.6482830233180135,1.5428524787522109,0.5529811654456047,0.8272186023109148,-1.2468722166258748,-86.10959506361135,,67.44909238389731,-991.8268697350074,6.784819863624647,0.06676996619876305,-0.9976956559702044,0.012047807767374031,20.916859454746486,37.38832304512344,-6.692987724440219,-0.5294561744256518,3.214920620141118,1.974445098509297,4.230882965549741,11.626743074610584,-0.11503791581865644,-0.3290798504819858,-0.024697225830179415,-0.8519338070343805,0.05198013561023291,-0.5210631957199132,,,1.0,0,1.0,22.666323506812002,high,high,,,37.083001186656,,,,2022-11
11,09/18/2024,10:42:21 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,45.69331250989683,9.009768787967984,1.7342142037888522,789.7305606418187,28.39245047562503,7:00,0.8275662940983077,-0.3271319657755497,6.000000191999998,-60.12837695375613,0.5155484581390937,-0.6691432285165156,1.4746855849870315,0.6969755008051148,42.052806629419315,-7.626861778285595,1.5478082623414928,0.5604865236814246,,,,,,,,,,,,1.3762426910957823,-2.53366184311628,0.7248119072628378,49.99999999999998,-1.8138341645609004,-2.124102375191097,-67.89605834656727,16.9180583766086,0.6278124139024372,9.010304211577965,-33.329851806081415,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,ed3240da-4a99-47b6-9055-1ed192112c73,45.76424522294728,0.8197637618557653,-0.32181442107383607,9.145580101597176,1.638277364716997,42.07713218526374,1.481183382934546,0.6930931639082917,-7.488263340457611,1.464225415406699,0.560387462958744,-0.062278192177572904,-1.9160771111810164,-81.4255384056998,,117.74456075517762,-780.9036924129707,14.909459836464467,0.13116019331970014,-0.9888229370005963,0.07089571884009352,,,,,,,,,,,,,,,,,1.0,0,,,high,high,,,37.083001186656,,,,2022-11
12,09/18/2024,10:42:37 AM,,,,,,,Nevaeh Watkins,,Left,Mizzou24-25,,,,,,,,,,,,,,,,46.53772078457374,9.035393129054064,0.665484423861517,979.9434246684231,350.6778702166141,5:45,0.8130590225869717,-0.2323249262235449,6.000000191999998,-58.843409793481435,-0.41788730863773793,0.6278944996435912,1.5814032417975152,0.23427895308949556,42.79645881022338,-7.254216692592203,0.8405124274832555,0.5501394955279555,57.28232466747001,16.34887252018334,10.82570210950564,421.6029040996847,22.582127599535752,107.65708296413045,4.563113970897177,123.31450368164604,,12.051107413913979,1.7257824780718676,-0.5008382362635132,-3.6268920448941286,0.3761755285768184,49.999999999999986,-1.8208088472056494,-0.7380665227037475,-69.17277776279882,17.12981493414417,-0.23714659134731347,9.351829116460948,-33.89138069883219,,,,,,f651893f-5555-4141-8288-8c8b67ec1529,7b945257-826e-4132-90e0-2aa83b76ed92,46.604919584625826,0.8051393742524019,-0.2261622565633507,9.171706498854707,0.5551750516033158,42.817641436253965,1.5877247319102554,0.2298858951632382,-7.118637816311556,0.7455585498871767,0.5500535905173712,1.3253238454127099,-2.782960229478545,-78.25779602286467,,199.42683821055942,-959.4363198004423,20.350852221702304,0.2008208310206401,-0.9790731746836103,-0.03296532182667201,10.323847734081172,53.98791743949117,16.124132777288654,-0.18504248950865756,3.0458271362158373,1.7875835866140373,25.74610871075093,120.59686855181974,5.986182305291125,13.377640649298108,0.2263454614594964,0.9033842300906777,0.08931008429865293,-0.41942894710074663,,,1.0,0,1.0,34.01620703571244,high,high,,,37.083001186656,,,,2022-11
